iter	Passed	Remaining
180	1319	5969
181	1323	5949
182	1328	5932
183	1334	5918
184	1338	5898
185	1343	5878
186	1347	5860
187	1352	5839
188	1356	5820
189	1361	5805
190	1367	5793
191	1372	5775
192	1377	5759
193	1382	5741
194	1386	5723
195	1390	5705
196	1395	5687
197	1399	5669
198	1404	5653
199	1410	5641
200	1414	5623
201	1419	5606
202	1425	5595
203	1430	5581
204	1435	5565
205	1441	5556
206	1446	5540
207	1450	5522
208	1455	5507
209	1460	5493
210	1465	5478
211	1471	5468
212	1475	5452
213	1480	5437
214	1486	5428
215	1491	5412
216	1495	5397
217	1500	5383
218	1505	5370
219	1510	5354
220	1515	5343
221	1520	5329
222	1525	5314
223	1530	5302
224	1535	5289
225	1540	5274
226	1545	5261
227	1550	5249
228	1555	5236
229	1559	5221
230	1564	5209
231	1569	5196
232	1574	5184
233	1580	5172
234	1584	5158
235	1588	5143
236	1594	5132
237	1598	5119
238	1604	5108
239	1610	5100
240	1615	5088
241	1619	5073
242	1624	5061
243	1630	5051
244	1634	5037
245	1639	5025
246	1644	5013
247	1648	4999
248	1653	4986
249	1657	4972
250	1661	4959
251	1666	4945
252	1670	4932
253	1675	4920
254	1679	4905
255	1683	4892
256	1688	4881
257	1692	4868
258	1696	4854
259	1701	4842
260	1707	4833
261	1712	4823
262	1718	4814
263	1722	4803
264	1727	4790
265	1732	4780
266	1737	4769
267	1741	4757
268	1746	4746
269	1751	4735
270	1756	4724
271	1761	4714
272	1766	4704
273	1771	4692
274	1777	4686
275	1782	4675
276	1787	4666
277	1791	4653
278	1797	4644
279	1801	4633
280	1806	4621
281	1811	4612
282	1815	4599
283	1819	4588
284	1824	4578
285	1829	4567
286	1834	4557
287	1839	4546
288	1844	4538
289	1848	4526
290	1853	4517
291	1858	4506
292	1863	4495
293	1867	4484
294	1872	4475
295	1877	4464
296	1881	4452
297	1885	4441
298	1891	4435
299	1897	4426
300	1902	4418
301	1907	4408
302	1911	4397
303	1916	4387
304	1921	4377
305	1925	4367
306	1930	4358
307	1936	4350
308	1940	4339
309	1944	4328
310	1949	4318
311	1954	4310
312	1959	4300
313	1964	4290
314	1968	4281
315	1973	4271
316	1977	4260
317	1982	4251
318	1987	4242
319	1991	4231
320	1997	4224
321	2001	4214
322	2006	4205
323	2011	4196
324	2015	4186
325	2020	4176
326	2024	4165
327	2028	4156
328	2033	4148
329	2038	4138
330	2043	4130
331	2048	4121
332	2052	4112
333	2057	4103
334	2062	4094
335	2067	4085
336	2072	4077
337	2076	4067
338	2081	4058
339	2086	4049
340	2091	4041
341	2096	4033
342	2101	4024
343	2106	4016
344	2110	4007
345	2116	4000
346	2122	3993
347	2128	3987
348	2132	3978
349	2138	3970
350	2142	3961
351	2147	3954
352	2153	3946
353	2157	3937
354	2162	3928
355	2167	3921
356	2172	3913
357	2177	3905
358	2182	3897
359	2187	3888
360	2192	3880
361	2198	3873
362	2202	3865
363	2207	3856
364	2210	3846
365	2217	3841
366	2222	3833
367	2227	3825
368	2232	3817
369	2238	3810
370	2242	3802
371	2248	3795
372	2253	3787
373	2258	3779
374	2264	3773
375	2268	3764
376	2273	3756
377	2277	3748
378	2282	3739
379	2285	3729
380	2290	3721
381	2295	3713
382	2300	3705
383	2306	3699
384	2310	3691
385	2316	3684
386	2322	3678
387	2329	3674
388	2335	3668
389	2340	3660
390	2345	3653
391	2351	3647
392	2356	3640
393	2362	3633
394	2369	3629
395	2374	3621
396	2379	3614
397	2386	3609
398	2390	3600
399	2394	3592
400	2400	3585
401	2404	3577
402	2409	3568
403	2414	3562
404	2419	3555
405	2424	3547
406	2430	3540
407	2434	3533
408	2439	3525
409	2443	3516
410	2449	3509
411	2453	3501
412	2457	3493
413	2463	3486
414	2467	3477
415	2471	3470
416	2476	3462
417	2481	3454
418	2485	3447
419	2489	3438
420	2494	3430
421	2498	3421
422	2502	3414
423	2507	3406
424	2512	3399
425	2517	3391
426	2521	3383
427	2525	3375
428	2530	3367
429	2534	3360
430	2539	3353
431	2545	3346
432	2550	3339
433	2555	3332
434	2560	3325
435	2565	3318
436	2570	3311
437	2574	3303
438	2579	3295
439	2583	3287
440	2587	3279
441	2591	3272
442	2595	3263
443	2600	3256
444	2604	3248
445	2608	3240
446	2613	3232
447	2618	3225
448	2622	3218
449	2626	3210
450	2631	3203
451	2636	3196
452	2640	3188
453	2644	3180
454	2649	3173
455	2655	3167
456	2659	3160
457	2665	3154
458	2670	3147
459	2675	3140
460	2696	3152
461	2701	3145
462	2705	3137
463	2710	3131
464	2715	3124
465	2720	3117
466	2725	3110
467	2729	3102
468	2733	3095
469	2738	3087
470	2742	3080
471	2746	3072
472	2751	3065
473	2755	3058
474	2761	3052
475	2765	3044
476	2770	3037
477	2775	3030
478	2780	3023
479	2784	3016
480	2788	3009
481	2793	3002
482	2799	2996
483	2804	2990
484	2809	2983
485	2814	2976
486	2818	2968
487	2823	2961
488	2828	2955
489	2833	2948
490	2838	2942
491	2842	2935
492	2847	2928
493	2852	2921
494	2856	2914
495	2860	2907
496	2865	2900
497	2870	2893
498	2874	2885
499	2878	2878
500	2883	2872
501	2888	2865
502	2892	2857
503	2897	2851
504	2902	2844
505	2906	2837
506	2911	2830
507	2916	2824
508	2921	2817
509	2925	2811
510	2930	2804
511	2936	2799
512	2942	2792
513	2946	2785
514	2951	2779
515	2956	2772
516	2960	2766
517	2966	2760
518	2971	2754
519	2976	2747
520	2982	2741
521	2987	2735
522	2992	2729
523	2997	2723
524	3003	2717
525	3008	2710
526	3012	2703
527	3016	2696
528	3021	2690
529	3026	2683
530	3030	2676
531	3034	2669
532	3040	2664
533	3045	2657
534	3050	2651
535	3059	2648
536	3064	2642
537	3069	2636
538	3075	2630
539	3080	2624
540	3086	2618
541	3091	2612
542	3095	2605
543	3101	2599
544	3106	2593
545	3111	2586
546	3117	2581
547	3121	2574
548	3126	2568
549	3131	2562
550	3137	2556
551	3142	2550
552	3147	2544
553	3152	2537
554	3156	2530
555	3161	2524
556	3166	2518
557	3171	2512
558	3177	2507
559	3182	2500
560	3187	2494
561	3191	2487
562	3196	2480
563	3200	2474
564	3205	2467
565	3209	2461
566	3214	2454
567	3218	2447
568	3223	2441
569	3227	2434
570	3231	2428
571	3236	2421
572	3241	2415
573	3245	2408
574	3250	2402
575	3254	2395
576	3259	2389
577	3263	2382
578	3268	2376
579	3273	2370
580	3277	2363
581	3282	2357
582	3287	2351
583	3291	2344
584	3296	2338
585	3301	2332
586	3306	2326
587	3311	2320
588	3315	2313
589	3320	2307
590	3324	2301
591	3329	2294
592	3334	2288
593	3338	2282
594	3343	2275
595	3347	2269
596	3353	2263
597	3357	2257
598	3362	2250
599	3367	2245
600	3373	2239
601	3377	2233
602	3382	2226
603	3387	2220
604	3391	2214
605	3396	2208
606	3400	2201
607	3405	2195
608	3409	2189
609	3414	2183
610	3419	2176
611	3423	2170
612	3428	2164
613	3432	2158
614	3437	2151
615	3442	2145
616	3446	2139
617	3451	2133
618	3455	2126
619	3460	2120
620	3465	2114
621	3470	2109
622	3475	2103
623	3480	2097
624	3485	2091
625	3490	2085
626	3494	2079
627	3499	2073
628	3504	2066
629	3508	2060
630	3514	2055
631	3519	2049
632	3524	2043
633	3529	2037
634	3535	2032
635	3540	2026
636	3544	2019
637	3548	2013
638	3553	2007
639	3557	2000
640	3560	1993
641	3566	1988
642	3573	1983
643	3578	1978
644	3585	1973
645	3592	1968
646	3597	1962
647	3602	1957
648	3606	1950
649	3611	1944
650	3616	1938
651	3621	1933
652	3626	1927
653	3631	1921
654	3636	1915
655	3640	1909
656	3645	1903
657	3650	1897
658	3654	1891
659	3660	1885
660	3665	1879
661	3669	1873
662	3674	1867
663	3679	1861
664	3683	1855
665	3687	1849
666	3693	1843
667	3697	1837
668	3702	1831
669	3707	1826
670	3712	1820
671	3718	1814
672	3724	1809
673	3728	1803
674	3732	1797
675	3737	1791
676	3743	1785
677	3747	1779
678	3753	1774
679	3759	1769
680	3764	1763
681	3770	1758
682	3774	1751
683	3783	1748
684	3791	1743
685	3801	1739
686	3810	1736
687	3820	1732
688	3828	1728
689	3836	1723
690	3845	1719
691	3856	1716
692	3865	1712
693	3874	1708
694	3883	1704
695	3892	1700
696	3901	1696
697	3910	1691
698	3918	1687
699	3927	1683
700	3936	1679
701	3945	1674
702	3954	1670
703	3963	1666
704	3972	1662
705	3981	1658
706	3990	1653
707	4000	1649
708	4009	1645
709	4019	1641
710	4028	1637
711	4038	1633
712	4047	1629
713	4055	1624
714	4065	1620
715	4075	1616
716	4084	1612
717	4092	1607
718	4101	1603
719	4110	1598
720	4119	1594
721	4128	1589
722	4137	1585
723	4145	1580
724	4154	1575
725	4162	1571
726	4171	1566
727	4180	1561
728	4188	1557
729	4199	1553
730	4209	1548
731	4218	1544
732	4230	1541
733	4239	1536
734	4248	1531
735	4257	1527
736	4265	1522
737	4272	1516
738	4281	1512
739	4291	1507
740	4299	1502
741	4308	1498
742	4317	1493
743	4325	1488
744	4334	1483
745	4343	1478
746	4351	1473
747	4358	1468
748	4368	1463
749	4377	1459
750	4387	1454
751	4395	1449
752	4404	1444
753	4415	1440
754	4424	1435
755	4433	1430
756	4441	1425
757	4449	1420
758	4457	1415
759	4465	1410
760	4474	1405
761	4482	1400
762	4491	1395
763	4500	1390
764	4509	1385
765	4517	1380
766	4526	1375
767	4534	1369
768	4544	1365
769	4552	1359
770	4561	1354
771	4572	1350
772	4582	1345
773	4593	1341
774	4604	1336
775	4614	1332
776	4623	1326
777	4631	1321
778	4640	1316
779	4648	1311
780	4657	1305
781	4666	1300
782	4674	1295
783	4682	1290
784	4691	1284
785	4699	1279
786	4709	1274
787	4717	1269
788	4725	1263
789	4732	1257
790	4741	1252
791	4749	1247
792	4759	1242
793	4768	1237
794	4779	1232
795	4788	1227
796	4796	1221
797	4804	1216
798	4812	1210
799	4822	1205
800	4830	1200
801	4841	1195
802	4852	1190
803	4860	1184
804	4868	1179
805	4878	1174
806	4887	1168
807	4895	1163
808	4904	1158
809	4914	1152
810	4922	1147
811	4931	1141
812	4940	1136
813	4949	1130
814	4959	1125
815	4969	1120
816	4980	1115
817	4990	1110
818	5001	1105
819	5013	1100
820	5027	1096
821	5039	1091
822	5048	1085
823	5059	1080
824	5068	1075
825	5077	1069
826	5086	1064
827	5098	1059
828	5109	1054
829	5119	1048
830	5126	1042
831	5132	1036
832	5138	1030
833	5143	1023
834	5149	1017
835	5154	1011
836	5162	1005
837	5169	999
838	5174	992
839	5178	986
840	5183	979
841	5188	973
842	5193	967
843	5197	960
844	5201	954
845	5205	947
846	5209	940
847	5213	934
848	5217	927
849	5221	921
850	5226	915
851	5230	908
852	5234	902
853	5239	895
854	5244	889
855	5248	882
856	5252	876
857	5257	870
858	5260	863
859	5264	856
860	5269	850
861	5273	844
862	5276	837
863	5280	831
864	5285	824
865	5289	818
866	5292	811
867	5296	805
868	5300	799
869	5304	792
870	5308	786
871	5312	779
872	5318	773
873	5321	767
874	5325	760
875	5328	754
876	5332	747
877	5336	741
878	5340	735
879	5343	728
880	5349	722
881	5352	716
882	5355	709
883	5359	703
884	5363	696
885	5366	690
886	5370	684
887	5373	677
888	5377	671
889	5381	665
890	5384	658
891	5388	652
892	5392	646
893	5396	639
894	5400	633
895	5403	627
896	5408	620
897	5412	614
898	5415	608
899	5419	602
900	5423	595
901	5427	589
902	5430	583
903	5434	577
904	5438	570
905	5442	564
906	5445	558
907	5448	552
908	5452	545
909	5456	539
910	5460	533
911	5464	527
912	5468	521
913	5472	514
914	5476	508
915	5480	502
916	5484	496
917	5488	490
918	5492	484
919	5496	477
920	5499	471
921	5505	465
922	5508	459
923	5513	453
924	5517	447
925	5521	441
926	5525	435
927	5529	429
928	5533	422
929	5537	416
930	5541	410
931	5544	404
932	5549	398
933	5553	392
934	5557	386
935	5561	380
936	5565	374
937	5569	368
938	5573	362
939	5579	356
940	5584	350
941	5588	344
942	5593	338
943	5598	332
944	5602	326
945	5607	320
946	5611	314
947	5616	308
948	5620	302
949	5625	296
950	5629	290
951	5634	284
952	5638	278
953	5642	272
954	5662	266
955	5672	261
956	5682	255
957	5691	249
958	5700	243
959	5710	237
960	5719	232
961	5729	226
962	5739	220
963	5747	214
964	5757	208
965	5766	202
966	5776	197
967	5785	191
968	5794	185
969	5804	179
970	5814	173
971	5823	167
972	5833	161
973	5842	155
974	5851	150
975	5862	144
976	5872	138
977	5882	132
978	5890	126
979	5900	120
980	5912	114
981	5922	108
982	5933	102
983	5945	96
984	5956	90
985	5967	84
986	5977	78
987	5987	72
988	5995	66
989	6005	60
990	6014	54
991	6025	48
992	6035	42
993	6045	36
994	6054	30
995	6065	24
996	6075	18
997	6087	12
998	6096	6
999	6105	0
